[22:48:36] [INFO] received Windows console close event; shutting log-core down
[22:55:03] [INFO] received Windows console close event; shutting log-core down
[22:57:32] [INFO] received Windows console close event; shutting log-core down
[22:58:41] [INFO] received Windows console close event; shutting log-core down
[23:02:18] [INFO] received Windows console close event; shutting log-core down
[23:05:18] [INFO] received Windows console close event; shutting log-core down
[23:06:34] [INFO] received Windows console close event; shutting log-core down
[23:07:28] [INFO] received Windows console close event; shutting log-core down
[23:07:41] [INFO] received Windows console close event; shutting log-core down
[23:11:03] [INFO] received Windows console close event; shutting log-core down
[23:16:07] [INFO] received Windows console close event; shutting log-core down
[23:42:33] [INFO] received Windows console close event; shutting log-core down
[23:43:56] [INFO] received Windows console close event; shutting log-core down
[23:44:04] [INFO] received Windows console close event; shutting log-core down
[23:44:23] [INFO] received Windows console close event; shutting log-core down
[23:45:26] [INFO] received Windows console close event; shutting log-core down
[23:46:00] [INFO] received Windows console close event; shutting log-core down
[23:52:46] [INFO] received Windows console close event; shutting log-core down
[00:00:43] [INFO] received Windows console close event; shutting log-core down
[00:11:37] [INFO] received Windows console close event; shutting log-core down
[00:16:47] [INFO] received Windows console close event; shutting log-core down
[00:19:32] [INFO] received Windows console close event; shutting log-core down
[03:17:37] [INFO] received Windows console close event; shutting log-core down
[03:18:28] [INFO] received Windows console close event; shutting log-core down
[03:22:16] [INFO] received Windows console close event; shutting log-core down
[03:22:45] [INFO] received Windows console close event; shutting log-core down
[03:25:22] [INFO] received Windows console close event; shutting log-core down
[03:27:57] [INFO] received Windows console close event; shutting log-core down
[03:31:27] [INFO] received Windows console close event; shutting log-core down
[03:37:51] [INFO] received Windows console close event; shutting log-core down
[03:40:26] [INFO] received Windows console close event; shutting log-core down
[03:42:20] [INFO] received Windows console close event; shutting log-core down
[20:31:22] [INFO] received Windows console close event; shutting log-core down
[20:32:15] [INFO] received Windows console close event; shutting log-core down
[20:34:18] [INFO] received Windows console close event; shutting log-core down
[20:35:55] [INFO] received Windows console close event; shutting log-core down
[20:56:30] [INFO] received Windows console close event; shutting log-core down
[21:04:36] [INFO] received Windows console close event; shutting log-core down
[01:51:16] [INFO] received Windows console close event; shutting log-core down
[02:00:08] [INFO] received Windows console close event; shutting log-core down
[02:47:04] [INFO] received Windows console close event; shutting log-core down
[14:07:10] [INFO] received Windows console close event; shutting log-core down
[19:46:00] [INFO] received Windows console close event; shutting log-core down
[19:49:19] [INFO] received Windows console close event; shutting log-core down
[19:50:56] [INFO] received Windows console close event; shutting log-core down
[19:54:33] [INFO] received Windows console close event; shutting log-core down
[19:55:11] [INFO] received Windows console close event; shutting log-core down
[19:57:20] [INFO] received Windows console close event; shutting log-core down
[20:20:16] [INFO] received Windows console close event; shutting log-core down
[20:41:15] [INFO] received Windows console close event; shutting log-core down
[20:43:58] [INFO] received Windows console close event; shutting log-core down
[20:48:29] [INFO] received Windows console close event; shutting log-core down
[21:16:53] [INFO] received Windows console close event; shutting log-core down
[21:26:55] [INFO] received Windows console close event; shutting log-core down
[21:38:56] [INFO] received Windows console close event; shutting log-core down
[21:43:58] [INFO] received Windows console close event; shutting log-core down
[21:50:50] [INFO] received Windows console close event; shutting log-core down
[21:54:26] [INFO] received Windows console close event; shutting log-core down
[22:10:17] [INFO] received Windows console close event; shutting log-core down
[22:14:27] [INFO] received Windows console close event; shutting log-core down
[22:18:17] [INFO] received Windows console close event; shutting log-core down
[22:27:18] [INFO] received Windows console close event; shutting log-core down
[22:30:18] [INFO] received Windows console close event; shutting log-core down
[22:33:49] [INFO] received Windows console close event; shutting log-core down
[22:36:47] [INFO] received Windows console close event; shutting log-core down
[22:41:28] [INFO] received Windows console close event; shutting log-core down
[22:43:49] [INFO] received Windows console close event; shutting log-core down
[22:45:09] [INFO] received Windows console close event; shutting log-core down
[22:47:22] [INFO] received Windows console close event; shutting log-core down
[22:48:58] [INFO] received Windows console close event; shutting log-core down
[22:56:29] [INFO] received Windows console close event; shutting log-core down
[23:00:31] [INFO] received Windows console close event; shutting log-core down
[23:00:44] [INFO] received Windows console close event; shutting log-core down
[23:03:29] [INFO] received Windows console close event; shutting log-core down
[23:05:35] [INFO] received Windows console close event; shutting log-core down
[23:09:44] [INFO] received Windows console close event; shutting log-core down
[23:12:31] [INFO] received Windows console close event; shutting log-core down
[23:15:09] [INFO] received Windows console close event; shutting log-core down
[23:17:29] [INFO] received Windows console close event; shutting log-core down
[23:19:44] [INFO] received Windows console close event; shutting log-core down
[23:40:32] [INFO] received Windows console close event; shutting log-core down
[23:59:22] [INFO] received Windows console close event; shutting log-core down
[00:03:24] [INFO] received Windows console close event; shutting log-core down
[02:06:19] [INFO] received Windows console close event; shutting log-core down
[19:05:43] [INFO] received Windows console close event; shutting log-core down
[19:54:45] [INFO] received Windows console close event; shutting log-core down
[20:57:51] [INFO] received Windows console close event; shutting log-core down
[21:18:15] [INFO] received Windows console close event; shutting log-core down
